onset:duration
55.2:5.8
69.4:23.0
92.6:18.4
112.4:2.4
115.0:5.0
130.8:0.4
131.4:0.6
135.6:0.6
136.4:0.2
140.4:2.6
143.8:1.6
145.6:4.0
150.4:0.2
150.8:1.2
152.8:0.4
153.4:0.2
153.8:0.4
154.6:0.2
155.0:22.2
178.0:4.2
184.8:0.6
185.6:1.8
188.2:1.6
190.0:2.0
194.2:9.8
204.8:0.6
206.0:0.4
207.0:0.2
207.6:0.4
209.4:2.0
213.2:1.4
215.6:1.2
217.0:3.6
220.8:0.6
221.6:4.0
232.0:0.2
232.8:0.4
233.4:0.2
247.6:3.6
251.4:0.2
252.4:0.2
253.0:24.2
277.4:3.2
281.4:17.2
298.8:62.8
363.2:44.0
409.6:48.2
459.0:2.0
461.2:13.8
475.4:7.4
486.0:0.2
487.2:6.0
493.4:6.0
500.6:3.6
505.4:2.0
507.6:4.0
512.4:2.6
515.4:4.6
523.4:0.2
524.2:0.2
524.6:10.8
537.4:30.0
572.0:0.4
573.0:1.8
575.0:0.2
575.4:5.0
581.6:31.8
613.6:6.0
623.6:10.0
633.8:1.0
635.0:1.8
637.0:33.2
670.8:86.6
767.8:3.8
773.6:6.2
781.8:9.0
794.4:8.6
803.2:0.2
809.2:16.6
830.2:8.0
840.4:9.4
852.0:76.8
929.0:1.6
930.8:16.8
947.8:0.2
949.2:21.8
972.8:37.2
1012.0:2.8
1015.2:1.4
1016.8:0.2
1017.2:0.2
1018.4:0.8
1019.4:2.4
1022.0:0.4
1022.6:0.8
1023.8:13.4
1037.6:0.2
1038.0:11.0
1049.2:4.4
1053.8:1.6
1055.6:18.0
1074.2:0.2
1075.0:5.0
1080.6:0.2
1081.0:170.2
1251.6:4.2
1256.2:6.8
1263.2:0.6
1267.4:4.4
1272.2:4.4
1277.0:18.6
1296.2:0.2
1298.4:0.2
1298.8:2.0
1301.6:1.2
1303.0:0.2
1303.4:0.4
1304.8:0.2
1305.8:9.4
1316.2:0.2
1316.8:0.2
1317.2:0.8
1318.4:80.8
1402.2:1.8
1404.2:1.4
1406.4:2.6
1414.0:3.4
1420.0:0.4
1429.4:1.6
1431.8:1.2
1433.6:2.0
1440.4:16.0
1456.8:0.8
1458.2:0.2
1458.6:1.4
1460.4:8.0
1468.6:0.4
1471.4:8.2
1483.2:0.2
1483.6:0.2
1484.0:3.0
1487.4:1.2
1489.0:0.2
1489.4:2.0
1491.6:18.4
1510.2:1.6
1512.8:19.4
1533.0:20.0
1560.2:13.4
1576.6:7.2
1584.2:3.4
1587.8:15.2
1607.2:0.2
1607.6:0.2
1608.0:0.6
1608.8:0.2
1610.0:0.2
1611.2:0.8
1612.2:0.4
1613.2:1.4
1616.2:4.2
1621.0:0.2
1621.4:0.2
1621.8:0.4
1623.0:0.6
1623.8:7.6
1633.8:0.2
1634.4:6.8
1641.8:9.2
1651.8:2.2
1654.2:4.2
1659.4:0.2
1659.8:0.2
1660.2:90.8
1751.8:0.2
1752.4:6.6
1759.2:0.2
1759.6:4.0
1766.8:0.4
1773.4:0.2
1773.8:0.6
1776.2:4.8
1783.8:19.2
1803.4:12.2
1816.2:8.0
1824.4:14.2
1838.8:0.8
1839.8:2.6
1843.2:45.8
1889.4:16.2
1905.8:6.6
1912.6:1.0
1913.8:5.0
1919.8:4.2
1926.4:6.2
1935.6:32.8
1975.4:2.4
1984.0:12.6
1999.0:19.0
2018.8:6.4
2027.6:5.0
2047.4:1.0
2048.6:2.8
2066.0:10.4
2081.8:25.2
2109.2:45.2
2157.4:22.0
2183.6:4.0
2187.8:0.2
2188.2:0.2
2188.6:1.2
2190.0:1.2
2198.0:1.6
2205.6:3.2
2211.4:6.8
2218.6:0.2
2219.2:0.2
2225.0:4.2
2229.4:0.4
2231.8:8.6
2241.6:0.8
2262.8:34.6
2301.4:79.0
2382.0:26.0
2408.2:7.2
2415.6:24.8
2440.6:8.8
2452.8:0.2
2457.0:3.6
2461.2:1.4
2464.0:0.8
2466.2:2.0
2469.4:3.8
2473.6:0.2
2474.2:4.4
2479.2:0.4
2479.8:0.2
2480.2:0.8
2482.8:0.6
2484.2:0.2
2485.0:2.2
2488.4:6.6
2495.2:0.4
2495.8:1.2
2497.2:3.6
2501.0:0.6
2501.8:4.2
2506.6:4.2
2511.6:0.2
2522.0:89.8
2615.4:0.2
2616.8:0.2
2619.8:31.0
2653.8:12.2
2666.4:31.0
2698.2:16.2
2715.2:2.4
2719.4:0.2
2720.0:1.4
2721.6:0.8
2723.0:1.2
2725.2:0.2
2737.0:4.2
2744.0:11.4
2762.2:0.2
2762.6:0.2
2764.4:1.0
2765.8:0.4
2770.2:0.2
2773.2:0.4
2774.6:0.2
2775.0:0.2
2775.4:3.8
2781.2:11.8
2795.0:32.4
2827.6:0.6
2829.0:0.8
2830.4:1.8
2833.2:1.0
2834.4:0.2
2834.8:0.2
2839.0:0.2
2840.6:0.2
2843.0:0.2
2843.6:0.6
2844.6:0.2
2848.4:1.6
2851.8:1.4
2856.0:0.2
2868.8:0.2
2869.2:0.6
2870.2:0.8
2871.4:0.6
2873.2:0.4
2874.8:0.4
2875.4:0.4
2876.0:0.2
2876.4:51.2
2929.6:12.0
2941.8:1.4
2943.4:2.2
2948.0:48.2
2996.4:12.4
3020.0:0.4
3020.6:3.8
